Firearms.MOD	OUTPUTNAME:火器（Firearms）
Mere Club.MOD	OUTPUTNAME:石磨棒（Mere club）
Terbutje.MOD	OUTPUTNAME:石刃劍（Terbutje）
Tepoztopilli.MOD	OUTPUTNAME:石刃戰棍（Tepoztopilli）
Atlatl.MOD	OUTPUTNAME:擲鏢器（Atlatl）
Taiaha.MOD	OUTPUTNAME:棍矛（Taiaha）
Terbutje (Great).MOD	OUTPUTNAME:石刃大劍（Terbutje (Great)）
Wahaika.MOD	OUTPUTNAME:魚嘴棒（Wahaika）
Ballista (Light).MOD	OUTPUTNAME:弩炮(輕型)（Ballista (Light)）
Cannon.MOD	OUTPUTNAME:加農火炮（Cannon）
Ballista (Heavy).MOD	OUTPUTNAME:弩炮(重型)（Ballista (Heavy)）
Cannon (Fiend's Mouth).MOD	OUTPUTNAME:鬼頭火炮（Cannon (Fiend's Mouth)）
Firedrake.MOD	OUTPUTNAME:炎蛟炮（Firedrake）
Ballista (Gate Breaker).MOD	OUTPUTNAME:弩炮(破城型)（Ballista (Gate Breaker)）
Firewyrm.MOD	OUTPUTNAME:炎龍炮（Firewyrm）
Bombard (Light).MOD	OUTPUTNAME:臼炮(輕型)（Bombard (Light)）
Catapult (Light).MOD	OUTPUTNAME:投石車(輕型)（Catapult (Light)）
Trebuchet (Light).MOD	OUTPUTNAME:拋石機(輕型)（Trebuchet (Light)）
Bombard (Standard).MOD	OUTPUTNAME:臼炮(中型)（Bombard (Standard)）
Catapult (Standard).MOD	OUTPUTNAME:投石車(中型)（Catapult (Standard)）
Springal (Arrow).MOD	OUTPUTNAME:投射器(巨矢型)（Springal (Arrow)）
Springal (Rocket).MOD	OUTPUTNAME:投射器(火箭型)（Springal (Rocket)）
Trebuchet (Standard).MOD	OUTPUTNAME:拋石機(中型)（Trebuchet (Standard)）
Bombard (Heavy).MOD	OUTPUTNAME:臼炮(重型)（Bombard (Heavy)）
Catapult (Heavy).MOD	OUTPUTNAME:投石車(重型)（Catapult (Heavy)）
Trebuchet (Heavy).MOD	OUTPUTNAME:拋石機(重型)（Trebuchet (Heavy)）
